,Country,Date,Lat,Confirmed,Deaths,Recovered,Active
90,Iraq,2020-04-13 05:07:23,33.223191,1352,76,640,636
91,Israel,2020-04-13 05:07:23,31.046051000000002,11145,103,1627,9415
92,Jamaica,2020-04-13 05:07:23,18.1096,72,4,16,52
93,Japan,2020-04-13 05:07:23,36.204824,7370,123,784,6463
94,Jordan,2020-04-13 05:07:23,31.24,389,7,201,181
95,Kazakhstan,2020-04-13 05:07:23,48.0196,961,10,99,852
96,Kenya,2020-04-13 05:07:23,-0.0236,197,8,25,164
97,"Korea, South",2020-04-13 05:07:23,35.90775700000001,10537,217,7447,2873
98,Kosovo,2020-04-13 05:07:23,42.602636,283,7,58,218
99,Kuwait,2020-04-13 05:07:23,29.311659999999996,1234,1,142,1091
100,Kyrgyzstan,2020-04-13 05:07:23,41.20438,419,5,67,347
101,Laos,2020-04-13 05:07:23,19.856270000000002,19,0,0,19
102,Latvia,2020-04-13 05:07:23,56.8796,651,5,16,630
103,Lebanon,2020-04-13 05:07:23,33.8547,630,20,80,530
104,Liberia,2020-04-13 05:07:23,6.4280550000000005,50,5,3,42
105,Libya,2020-04-13 05:07:23,26.3351,25,1,9,15
106,Liechtenstein,2020-04-13 05:07:23,47.14,79,1,55,23
107,Lithuania,2020-04-13 05:07:23,55.1694,1053,23,97,933
108,Luxembourg,2020-04-13 05:07:23,49.8153,3281,66,500,2715
109,MS Zaandam,2020-04-13 05:07:23,,9,2,0,7
110,Madagascar,2020-04-13 05:07:23,-18.766947000000002,106,0,20,86
111,Malawi,2020-04-13 05:07:23,-13.254307999999998,13,2,0,11
112,Malaysia,2020-04-13 05:07:23,4.210483999999999,4683,76,2108,2499
113,Maldives,2020-04-13 05:07:23,3.2028,20,0,14,6
114,Mali,2020-04-13 05:07:23,17.570692,105,9,22,74
115,Malta,2020-04-13 05:07:23,35.9375,378,3,44,331
116,Mauritania,2020-04-13 05:07:23,21.0079,7,1,2,4
117,Mauritius,2020-04-13 05:07:23,-20.348404000000002,324,9,42,273
118,Mexico,2020-04-13 05:07:23,23.6345,4661,296,1843,2522
119,Moldova,2020-04-13 05:07:23,47.4116,1662,31,94,1537
120,Monaco,2020-04-13 05:07:23,43.7333,93,1,6,86
121,Mongolia,2020-04-13 05:07:23,46.8625,17,0,4,13
122,Montenegro,2020-04-13 05:07:23,42.708678000000006,272,3,5,264
123,Morocco,2020-04-13 05:07:23,31.7917,1661,118,177,1366
124,Mozambique,2020-04-13 05:07:23,-18.665695,21,0,2,19
125,Namibia,2020-04-13 05:07:23,-22.9576,16,0,3,13
126,Nepal,2020-04-13 05:07:23,28.1667,13,0,1,12
127,New Zealand,2020-04-13 05:07:23,-40.9006,1349,5,546,798
128,Nicaragua,2020-04-13 05:07:23,12.865416,9,1,4,4
129,Niger,2020-04-13 05:07:23,17.607789,529,12,75,442
130,Nigeria,2020-04-13 05:07:23,9.082,323,10,85,228
131,North Macedonia,2020-04-13 05:07:23,41.6086,828,34,41,753
132,Oman,2020-04-13 05:07:23,21.512583,599,4,109,486
133,Pakistan,2020-04-13 05:07:23,30.3753,5374,93,1095,4186
134,Panama,2020-04-13 05:07:23,8.538,3400,87,29,3284
135,Papua New Guinea,2020-04-13 05:07:23,-6.314993,2,0,0,2
136,Paraguay,2020-04-13 05:07:23,-23.4425,147,6,22,119
